Realm,Name
1,Inner Baltic Sea
2,Black Sea
3,NE Atlantic
4,Norwegian Sea
5,Mediterranean
6,Artic Seas
7,N Pacific
8,N American Boreal
9,mid-tropical N Pacific
10,SE Pacific
11,Caribbean & Gulf of Mexico
12,Gulf of California
13,Indo-Pacific seas & Indian Ocean
14,"Gulfs of Aqaba, Aden, Suez, Red Sea"
15,Tasman Sea
16,Coral Sea
17,Mid South Tropical Pacific
18,Offshore & NW North Atlantic
19,Offshore Indian Ocean
20,Offshore W Pacific
21,Offshore S Atlantic
22,Offshore mid-E Pacific
23,Gulf of Guinea
24,Rio de La Plata
25,Chile
26,S Australia
27,S Africa
28,New Zealand
29,N W Pacific
30,Southern Ocean
